tripid,starttime,stoptime,bikeid,duration,from,to,identifies,birthyear
Tr10409069,6/30/2016 8:18,6/30/2016 8:34,B494,960,447,459,Male,1969
Tr10408941,6/30/2016 8:14,6/30/2016 8:30,B935,987,257,127,Male,1964
Tr10408819,6/30/2016 8:10,6/30/2016 8:14,B3522,254,191,198,Male,1986
Tr10408710,6/30/2016 8:06,6/30/2016 8:24,B1658,1085,313,125,Female,1988
Tr10408601,6/30/2016 8:01,6/30/2016 8:21,B3489,1197,17,125,Male,1981
Tr10408472,6/30/2016 7:57,6/30/2016 8:09,B5666,664,37,125,Male,1962
Tr10408340,6/30/2016 7:53,6/30/2016 7:58,B2935,272,77,164,Male,1987
Tr10408208,6/30/2016 7:49,6/30/2016 7:51,B4163,143,81,37,Male,1976
Tr10408097,6/30/2016 7:44,6/30/2016 7:49,B2192,250,426,427,Male,1986
Tr10407986,6/30/2016 7:39,6/30/2016 7:43,B794,196,144,327,Male,1994
Tr10407787,6/30/2016 7:35,6/30/2016 7:48,B1638,819,142,212,Male,1943
Tr10407585,6/30/2016 7:29,6/30/2016 7:43,B4368,840,2,36,Female,1981
Tr10407474,6/30/2016 7:24,6/30/2016 7:26,B180,137,77,75,Male,1983
Tr10407357,6/30/2016 7:19,6/30/2016 7:22,B5552,179,614,617,Male,1983
Tr10407235,6/30/2016 7:13,6/30/2016 7:21,B3505,503,91,31,Male,1984
Tr10407128,6/30/2016 7:06,6/30/2016 7:15,B2233,519,26,212,Male,1984
Tr10406992,6/30/2016 6:57,6/30/2016 7:07,B691,614,24,359,Male,1990
Tr10406881,6/30/2016 6:49,6/30/2016 7:00,B2657,682,24,191,Male,1987
Tr10406768,6/30/2016 6:39,6/30/2016 6:45,B4754,366,77,56,Female,1983
Tr10406664,6/30/2016 6:28,6/30/2016 6:35,B2248,438,18,39,Male,1970
Tr10406539,6/30/2016 6:14,6/30/2016 6:20,B1738,380,168,41,Female,1955
Tr10406431,6/30/2016 5:56,6/30/2016 6:03,B2443,395,213,259,Male,1991
Tr10406322,6/30/2016 5:11,6/30/2016 5:26,B5627,915,93,96,Female,1984
Tr10406218,6/30/2016 1:26,6/30/2016 1:41,B823,887,255,90,,
Tr10426648,6/30/2016 23:57,7/1/2016 0:22,B4050,1466,259,123,Female,1986
Tr10426538,6/30/2016 23:26,6/30/2016 23:45,B1845,1157,3,284,,
Tr10426406,6/30/2016 23:05,6/30/2016 23:28,B3749,1350,176,115,Female,1990
Tr10426265,6/30/2016 22:44,6/30/2016 22:57,B3797,797,47,33,,
Tr10426137,6/30/2016 22:28,6/30/2016 22:41,B838,819,165,162,Female,1985
Tr10425998,6/30/2016 22:16,6/30/2016 22:24,B3700,487,334,156,Male,1991
Tr10425868,6/30/2016 22:02,6/30/2016 22:15,B1364,808,291,133,Female,1990
Tr10425736,6/30/2016 21:50,6/30/2016 22:01,B5671,645,192,264,,
Tr10425629,6/30/2016 21:38,6/30/2016 21:54,B5840,989,33,19,Male,1986
Tr10425500,6/30/2016 21:27,6/30/2016 21:30,B293,205,397,399,Female,1994
Tr10425371,6/30/2016 21:16,6/30/2016 21:23,B2681,416,341,341,Male,1988
Tr10425245,6/30/2016 21:07,6/30/2016 21:21,B3644,793,150,401,Male,1978
Tr10425103,6/30/2016 20:58,6/30/2016 21:16,B4838,1082,89,51,Male,1978
Tr10424989,6/30/2016 20:48,6/30/2016 21:26,B4156,2282,26,35,,
Tr10424865,6/30/2016 20:40,6/30/2016 21:04,B3976,1427,223,123,Female,1989
Tr10424743,6/30/2016 20:32,6/30/2016 20:42,B2869,595,143,296,Male,1991
Tr10424614,6/30/2016 20:23,6/30/2016 20:36,B3033,782,141,212,Female,1984
Tr10424481,6/30/2016 20:16,6/30/2016 20:33,B533,1024,324,35,Female,1974
Tr10424356,6/30/2016 20:08,6/30/2016 20:17,B3363,544,13,94,Male,1991
Tr10424232,6/30/2016 20:00,6/30/2016 20:16,B5719,991,100,94,Male,1983
Tr10424106,6/30/2016 19:54,6/30/2016 20:08,B2811,881,141,324,,
Tr10423999,6/30/2016 19:49,6/30/2016 19:57,B2877,532,492,162,Female,1987
Tr10423893,6/30/2016 19:41,6/30/2016 20:05,B957,1430,117,38,Male,1975
Tr10423782,6/30/2016 19:36,6/30/2016 20:29,B3125,3216,268,268,,
Tr10423672,6/30/2016 19:29,6/30/2016 19:56,B4376,1596,243,464,Female,1989
Tr10423554,6/30/2016 19:24,6/30/2016 19:36,B570,706,505,490,Male,1973
Tr10423439,6/30/2016 19:19,6/30/2016 19:39,B5518,1204,76,85,,
Tr10423314,6/30/2016 19:14,6/30/2016 19:36,B4713,1308,289,69,,
Tr10423173,6/30/2016 19:09,6/30/2016 19:26,B942,1039,85,34,,
Tr10423052,6/30/2016 19:03,6/30/2016 19:16,B238,782,43,3,Male,1990
Tr10422941,6/30/2016 18:59,6/30/2016 19:11,B507,691,55,208,Male,1960
Tr10422829,6/30/2016 18:55,6/30/2016 19:21,B4086,1565,504,291,Male,1981
Tr10422713,6/30/2016 18:50,6/30/2016 19:16,B3913,1560,176,162,Male,1989
Tr10422602,6/30/2016 18:47,6/30/2016 18:55,B5599,495,127,127,,
Tr10422487,6/30/2016 18:42,6/30/2016 18:46,B530,211,338,168,Male,1983
Tr10422349,6/30/2016 18:38,6/30/2016 18:46,B4223,480,98,133,Male,1978
Tr10422234,6/30/2016 18:33,6/30/2016 18:49,B2454,979,35,85,,
Tr10422125,6/30/2016 18:28,6/30/2016 18:41,B2909,749,317,107,Male,1984
Tr10422014,6/30/2016 18:25,6/30/2016 18:35,B3247,586,465,249,Male,1988
Tr10421891,6/30/2016 18:21,6/30/2016 18:35,B2802,795,157,268,Male,1981
Tr10421767,6/30/2016 18:18,6/30/2016 18:30,B5267,722,303,144,Male,1989
Tr10421651,6/30/2016 18:14,6/30/2016 18:18,B5276,238,238,243,Female,1989
Tr10421520,6/30/2016 18:11,6/30/2016 18:24,B5469,817,223,268,Female,1978
Tr10421409,6/30/2016 18:07,6/30/2016 18:21,B798,788,111,35,Female,1992
Tr10421301,6/30/2016 18:04,6/30/2016 18:29,B1160,1498,33,280,Female,1984
Tr10421195,6/30/2016 18:01,6/30/2016 18:20,B905,1179,287,338,Male,1980
Tr10421087,6/30/2016 17:57,6/30/2016 18:10,B3580,760,35,90,Female,1968
Tr10420972,6/30/2016 17:54,6/30/2016 18:27,B1104,1977,90,268,,
Tr10420847,6/30/2016 17:51,6/30/2016 17:57,B1548,354,5,255,Male,1978
Tr10420710,6/30/2016 17:48,6/30/2016 17:59,B1882,646,41,90,Female,1978
Tr10420586,6/30/2016 17:45,6/30/2016 18:02,B2660,996,40,140,Female,1990
Tr10420473,6/30/2016 17:41,6/30/2016 18:03,B1651,1320,38,168,Female,1956
Tr10420363,6/30/2016 17:38,6/30/2016 17:55,B1649,976,287,172,Male,1990
Tr10420245,6/30/2016 17:36,6/30/2016 17:44,B307,478,58,158,Male,1983
Tr10420131,6/30/2016 17:32,6/30/2016 17:39,B2949,390,35,199,Male,1968
Tr10420021,6/30/2016 17:30,6/30/2016 17:42,B5642,726,254,229,Female,1968
Tr10419912,6/30/2016 17:27,6/30/2016 17:44,B2890,1048,180,177,Male,1987
Tr10419804,6/30/2016 17:24,6/30/2016 17:36,B1357,712,199,91,Male,1968
Tr10419692,6/30/2016 17:21,6/30/2016 17:27,B5682,344,46,161,Male,1988
Tr10419579,6/30/2016 17:18,6/30/2016 17:35,B2121,1017,181,17,Male,1988
Tr10419459,6/30/2016 17:16,6/30/2016 17:30,B978,826,223,88,Male,1979
Tr10419351,6/30/2016 17:13,6/30/2016 17:29,B5852,949,283,4,Male,1990
Tr10419240,6/30/2016 17:10,6/30/2016 17:15,B409,286,240,304,Male,1984
Tr10419126,6/30/2016 17:08,6/30/2016 17:18,B1956,611,52,91,Male,1975
Tr10419017,6/30/2016 17:06,6/30/2016 17:15,B950,538,316,475,Male,1982
Tr10418913,6/30/2016 17:03,6/30/2016 17:16,B312,741,81,74,Male,1957
Tr10418807,6/30/2016 17:01,6/30/2016 17:46,B706,2692,197,3,,
Tr10418700,6/30/2016 16:58,6/30/2016 17:06,B4472,467,57,241,Male,1966
Tr10418591,6/30/2016 16:55,6/30/2016 17:04,B2318,533,133,176,Male,1990
Tr10418482,6/30/2016 16:52,6/30/2016 17:05,B3597,763,268,334,Male,1988
Tr10418364,6/30/2016 16:50,6/30/2016 17:06,B2857,994,147,108,Male,1986
Tr10418253,6/30/2016 16:46,6/30/2016 17:06,B5878,1155,112,130,Male,1982
Tr10418135,6/30/2016 16:42,6/30/2016 16:55,B3442,739,130,215,Male,1985
Tr10418007,6/30/2016 16:38,6/30/2016 16:53,B1147,914,237,120,,
Tr10417901,6/30/2016 16:35,6/30/2016 16:50,B238,897,192,301,Male,1970
Tr10417789,6/30/2016 16:31,6/30/2016 16:38,B5021,441,47,174,Male,1989
Tr10417661,6/30/2016 16:26,6/30/2016 16:57,B5216,1885,177,35,,
Tr10417540,6/30/2016 16:21,6/30/2016 16:38,B2330,1020,174,376,Male,1959
Tr10417430,6/30/2016 16:18,6/30/2016 16:21,B2829,217,68,175,Male,1985
Tr10417320,6/30/2016 16:13,6/30/2016 16:25,B4245,731,329,176,Male,1988
Tr10417207,6/30/2016 16:07,6/30/2016 16:32,B3849,1486,268,98,,
Tr10417099,6/30/2016 16:02,6/30/2016 16:19,B5877,998,20,192,Male,1975
Tr10416981,6/30/2016 15:58,6/30/2016 16:06,B4959,490,43,174,Male,1980
Tr10416863,6/30/2016 15:53,6/30/2016 16:02,B2262,508,89,77,Male,1962
Tr10416753,6/30/2016 15:49,6/30/2016 16:52,B3235,3813,77,174,,
Tr10416646,6/30/2016 15:43,6/30/2016 16:00,B6,991,4,76,,
Tr10416524,6/30/2016 15:37,6/30/2016 15:45,B5622,448,100,192,Male,1967
Tr10416395,6/30/2016 15:32,6/30/2016 15:40,B163,507,164,211,Male,1966
Tr10416277,6/30/2016 15:25,6/30/2016 15:50,B5573,1483,153,177,,
Tr10416134,6/30/2016 15:18,6/30/2016 15:39,B4871,1284,255,321,Male,1966
Tr10416003,6/30/2016 15:12,6/30/2016 15:26,B403,866,97,284,Female,1991
Tr10415864,6/30/2016 15:04,6/30/2016 15:27,B4631,1352,199,327,Female,1995
Tr10415752,6/30/2016 14:57,6/30/2016 15:30,B3742,1948,195,291,,
Tr10415611,6/30/2016 14:50,6/30/2016 14:55,B5716,306,40,77,Male,1987
Tr10415477,6/30/2016 14:42,6/30/2016 14:53,B1433,701,177,85,Male,1967
Tr10415354,6/30/2016 14:34,6/30/2016 14:40,B5154,374,103,73,Male,1984
Tr10415237,6/30/2016 14:26,6/30/2016 14:34,B4862,421,199,111,Male,1981
Tr10415123,6/30/2016 14:19,6/30/2016 14:43,B3580,1474,85,220,,
Tr10415008,6/30/2016 14:11,6/30/2016 14:18,B5062,475,2,45,,
Tr10414891,6/30/2016 14:02,6/30/2016 14:17,B370,869,329,154,Female,1985
Tr10414781,6/30/2016 13:55,6/30/2016 14:12,B4026,985,304,254,,
Tr10414667,6/30/2016 13:49,6/30/2016 13:55,B5795,305,545,537,,
Tr10414552,6/30/2016 13:43,6/30/2016 13:48,B3016,340,60,359,Female,1993
Tr10414412,6/30/2016 13:35,6/30/2016 13:39,B771,242,108,68,Male,1990
Tr10414280,6/30/2016 13:27,6/30/2016 13:34,B193,431,164,199,Male,1986
Tr10414138,6/30/2016 13:19,6/30/2016 13:26,B3573,435,41,59,Female,1978
Tr10414013,6/30/2016 13:13,6/30/2016 13:20,B3999,411,48,56,Male,1981
Tr10413898,6/30/2016 13:04,6/30/2016 13:09,B4163,272,37,81,Female,1959
Tr10413782,6/30/2016 12:55,6/30/2016 13:04,B2463,513,233,98,Male,1986
Tr10413665,6/30/2016 12:48,6/30/2016 12:51,B4006,196,37,81,Male,1993
Tr10413539,6/30/2016 12:40,6/30/2016 12:54,B5787,814,301,191,Male,1970
Tr10413431,6/30/2016 12:33,6/30/2016 13:24,B1257,3076,245,26,,
Tr10413320,6/30/2016 12:25,6/30/2016 12:53,B2406,1648,249,34,,
Tr10413198,6/30/2016 12:20,6/30/2016 12:29,B5018,557,493,230,Male,1992
Tr10413063,6/30/2016 12:12,6/30/2016 12:24,B1756,735,43,59,Male,1964
Tr10412923,6/30/2016 12:05,6/30/2016 12:14,B2440,554,66,47,Male,1964
Tr10412797,6/30/2016 11:58,6/30/2016 12:17,B4318,1159,497,226,Female,1988
Tr10412657,6/30/2016 11:49,6/30/2016 12:09,B4080,1227,370,164,Male,1989
Tr10412540,6/30/2016 11:41,6/30/2016 11:45,B2716,258,197,195,Male,1982
Tr10412421,6/30/2016 11:33,6/30/2016 11:49,B5828,1017,341,2,,
Tr10412289,6/30/2016 11:23,6/30/2016 11:41,B4930,1085,417,420,Male,1969
Tr10412155,6/30/2016 11:14,6/30/2016 11:21,B2092,386,18,181,Male,1972
Tr10412034,6/30/2016 11:06,6/30/2016 11:15,B5303,561,56,186,Male,1989
Tr10411906,6/30/2016 10:53,6/30/2016 12:18,B4247,5079,249,249,,
Tr10411776,6/30/2016 10:43,6/30/2016 11:03,B3499,1224,134,158,Male,1986
Tr10411652,6/30/2016 10:31,6/30/2016 10:46,B5138,911,255,99,Male,1982
Tr10411521,6/30/2016 10:21,6/30/2016 10:37,B3201,960,304,313,Male,1992
Tr10411360,6/30/2016 10:11,6/30/2016 10:19,B2866,474,113,58,,
Tr10411221,6/30/2016 9:59,6/30/2016 10:11,B4151,683,49,56,Female,1992
Tr10411078,6/30/2016 9:48,6/30/2016 9:59,B5807,703,26,23,Male,1988
Tr10410950,6/30/2016 9:38,6/30/2016 9:51,B1979,781,71,197,Male,1982
Tr10410828,6/30/2016 9:28,6/30/2016 9:44,B1847,952,55,48,Male,1981
Tr10410708,6/30/2016 9:19,6/30/2016 9:35,B1841,931,300,331,Male,1985
Tr10410591,6/30/2016 9:12,6/30/2016 9:27,B5360,872,186,145,Male,1988
Tr10410460,6/30/2016 9:07,6/30/2016 9:19,B5807,741,283,26,Male,1988
Tr10410307,6/30/2016 9:01,6/30/2016 9:09,B4826,472,18,264,Male,1978
Tr10410156,6/30/2016 8:56,6/30/2016 9:16,B5054,1178,192,145,Male,1990
Tr10410027,6/30/2016 8:51,6/30/2016 9:05,B3466,862,80,81,Male,1975
Tr10409904,6/30/2016 8:46,6/30/2016 8:56,B4183,605,198,81,Male,1984
Tr10409779,6/30/2016 8:43,6/30/2016 9:04,B578,1287,272,287,Male,1971
Tr10409646,6/30/2016 8:38,6/30/2016 8:45,B5000,411,134,18,Female,1988
Tr10409527,6/30/2016 8:34,6/30/2016 8:45,B2053,663,145,66,Male,1989
Tr10409416,6/30/2016 8:30,6/30/2016 8:40,B5827,587,284,107,Male,1977
Tr10409301,6/30/2016 8:26,6/30/2016 8:30,B1894,255,73,68,Male,1982
Tr10409184,6/30/2016 8:22,6/30/2016 8:32,B1461,596,110,66,Male,1991
Tr10409059,6/30/2016 8:18,6/30/2016 8:34,B4881,978,154,23,Female,1981
Tr10408925,6/30/2016 8:13,6/30/2016 8:19,B5780,342,214,119,Male,1978
Tr10408807,6/30/2016 8:09,6/30/2016 8:23,B3748,853,192,264,Female,1960
Tr10408700,6/30/2016 8:05,6/30/2016 8:10,B3886,302,75,414,Male,1987
Tr10408591,6/30/2016 8:01,6/30/2016 8:12,B2648,633,321,287,Female,1993
Tr10408460,6/30/2016 7:57,6/30/2016 8:08,B5700,677,340,223,Male,1957
Tr10408326,6/30/2016 7:52,6/30/2016 8:04,B2138,718,510,69,Male,1988
Tr10408196,6/30/2016 7:48,6/30/2016 8:05,B1406,1041,192,273,Male,1995
Tr10408085,6/30/2016 7:44,6/30/2016 7:52,B1437,452,191,33,Male,1959
Tr10407974,6/30/2016 7:39,6/30/2016 7:52,B4634,786,91,173,Female,1969
Tr10407695,6/30/2016 7:34,6/30/2016 7:45,B3085,656,91,106,Male,1985
Tr10407574,6/30/2016 7:29,6/30/2016 7:52,B4964,1414,340,286,Female,1988
Tr10407462,6/30/2016 7:24,6/30/2016 7:31,B4449,448,493,230,Male,1979
Tr10407344,6/30/2016 7:18,6/30/2016 7:33,B3425,854,142,66,Male,1958
Tr10407225,6/30/2016 7:12,6/30/2016 7:21,B1337,552,111,75,Male,1985
Tr10407117,6/30/2016 7:06,6/30/2016 7:14,B3653,508,68,37,Male,1979
Tr10406979,6/30/2016 6:56,6/30/2016 7:02,B3146,377,56,91,Male,1986
Tr10406871,6/30/2016 6:48,6/30/2016 6:52,B4089,245,138,331,Male,1990
Tr10406758,6/30/2016 6:39,6/30/2016 6:51,B2091,741,24,91,Male,1976
Tr10406654,6/30/2016 6:26,6/30/2016 6:30,B533,219,220,13,Male,1991
Tr10406529,6/30/2016 6:13,6/30/2016 6:22,B4570,589,91,264,Male,1949
Tr10406421,6/30/2016 5:54,6/30/2016 5:57,B3388,218,227,114,Male,1989
Tr10406312,6/30/2016 5:02,6/30/2016 5:42,B428,2450,294,284,Male,1991
Tr10406206,6/30/2016 1:14,6/30/2016 1:26,B3334,765,5,89,,
Tr10426638,6/30/2016 23:55,7/1/2016 0:40,B4579,2713,177,340,,
Tr10426528,6/30/2016 23:23,6/30/2016 23:32,B4057,506,240,304,Male,1979
Tr10426396,6/30/2016 23:04,6/30/2016 23:09,B5706,297,317,22,Male,1994
Tr10426255,6/30/2016 22:42,6/30/2016 23:03,B708,1236,249,303,,
Tr10426124,6/30/2016 22:26,6/30/2016 22:43,B1716,1009,332,114,,
Tr10425985,6/30/2016 22:14,6/30/2016 22:24,B4203,549,114,332,Female,1964
Tr10425845,6/30/2016 22:00,6/30/2016 22:17,B2214,982,87,332,Male,1966
Tr10425726,6/30/2016 21:48,6/30/2016 22:29,B1151,2447,142,268,,
Tr10425618,6/30/2016 21:37,6/30/2016 21:56,B5183,1180,597,596,Female,1988
Tr10425479,6/30/2016 21:26,6/30/2016 21:48,B3547,1354,472,479,,
Tr10425359,6/30/2016 21:16,6/30/2016 21:33,B1421,1011,464,474,Female,1989
Tr10425231,6/30/2016 21:07,6/30/2016 21:19,B3831,767,24,289,Male,1984
Tr10425091,6/30/2016 20:57,6/30/2016 21:12,B5772,900,226,113,Female,1986
Tr10424976,6/30/2016 20:48,6/30/2016 20:57,B4560,598,154,229,Male,1991
Tr10424852,6/30/2016 20:39,6/30/2016 20:47,B2857,439,282,19,Male,1993
Tr10424731,6/30/2016 20:31,6/30/2016 20:42,B5846,641,177,67,,
Tr10424598,6/30/2016 20:22,6/30/2016 20:34,B3749,676,43,176,Male,1993
Tr10424469,6/30/2016 20:15,6/30/2016 20:20,B957,329,38,110,Male,1984
Tr10424346,6/30/2016 20:07,6/30/2016 20:17,B1036,588,288,188,Male,1988
Tr10424222,6/30/2016 19:59,6/30/2016 20:05,B2048,342,157,300,Male,1990
Tr10424093,6/30/2016 19:53,6/30/2016 20:08,B4089,865,90,140,Female,1985
Tr10423988,6/30/2016 19:48,6/30/2016 20:02,B4241,851,220,303,Female,1985
Tr10423883,6/30/2016 19:41,6/30/2016 19:50,B4284,563,253,254,Male,1986
Tr10423767,6/30/2016 19:35,6/30/2016 19:55,B4646,1232,177,7,Male,1990
Tr10423662,6/30/2016 19:29,6/30/2016 19:44,B5784,886,117,20,Female,1989
Tr10423542,6/30/2016 19:23,6/30/2016 19:27,B5813,192,34,329,Male,1960
Tr10423424,6/30/2016 19:18,6/30/2016 19:29,B5499,672,4,45,Male,1991
Tr10423300,6/30/2016 19:13,6/30/2016 19:19,B1430,362,423,322,,
Tr10423162,6/30/2016 19:08,6/30/2016 19:35,B1640,1578,493,268,,
Tr10423041,6/30/2016 19:03,6/30/2016 19:25,B4886,1327,224,157,Female,1987
Tr10422930,6/30/2016 18:59,6/30/2016 19:06,B3110,435,232,245,Male,1981
Tr10422818,6/30/2016 18:54,6/30/2016 19:13,B2220,1112,197,146,Male,1963
Tr10422702,6/30/2016 18:50,6/30/2016 19:01,B4899,698,44,172,Female,1994
Tr10422590,6/30/2016 18:46,6/30/2016 18:56,B3529,620,334,256,Female,1987
Tr10422475,6/30/2016 18:42,6/30/2016 19:05,B5656,1366,376,493,Male,1991
Tr10422336,6/30/2016 18:37,6/30/2016 19:01,B604,1426,326,307,,
Tr10422222,6/30/2016 18:32,6/30/2016 18:48,B2127,924,99,268,,
Tr10422115,6/30/2016 18:28,6/30/2016 19:17,B4812,2948,485,296,Female,1962
Tr10422002,6/30/2016 18:25,6/30/2016 18:33,B3645,511,110,99,,
Tr10421879,6/30/2016 18:21,6/30/2016 18:28,B331,413,164,52,Male,1985
Tr10421756,6/30/2016 18:18,6/30/2016 18:45,B2753,1677,73,505,Male,1974
Tr10421637,6/30/2016 18:14,6/30/2016 18:20,B5043,389,71,91,Male,1972
Tr10421507,6/30/2016 18:10,6/30/2016 18:27,B5826,991,26,182,Female,1988
Tr10421399,6/30/2016 18:07,6/30/2016 18:23,B1084,934,344,479,Male,1978
Tr10421291,6/30/2016 18:04,6/30/2016 18:29,B4656,1524,3,35,,
Tr10421184,6/30/2016 18:00,6/30/2016 18:16,B2473,922,210,166,Male,1992
Tr10421075,6/30/2016 17:57,6/30/2016 18:27,B1239,1799,43,324,Male,1987
Tr10420960,6/30/2016 17:54,6/30/2016 18:20,B1894,1560,68,167,Female,1975
Tr10420832,6/30/2016 17:51,6/30/2016 18:04,B3729,803,304,295,Female,1957
Tr10420697,6/30/2016 17:48,6/30/2016 17:56,B3312,484,301,60,Female,1962
Tr10420576,6/30/2016 17:45,6/30/2016 18:08,B4882,1432,81,309,Male,1956
Tr10420462,6/30/2016 17:41,6/30/2016 17:47,B402,331,123,507,Male,1990
Tr10420350,6/30/2016 17:38,6/30/2016 17:49,B5016,674,340,220,,
Tr10420233,6/30/2016 17:35,6/30/2016 17:47,B2631,695,230,303,Male,1979
Tr10420118,6/30/2016 17:32,6/30/2016 17:43,B2503,681,174,186,Male,1985
Tr10420009,6/30/2016 17:29,6/30/2016 17:55,B3705,1522,150,51,,
Tr10419901,6/30/2016 17:26,6/30/2016 17:33,B2225,424,190,13,Male,1993
Tr10419793,6/30/2016 17:24,6/30/2016 17:41,B711,1047,35,284,,
Tr10419681,6/30/2016 17:21,6/30/2016 17:29,B4469,525,81,106,Male,1974
Tr10419566,6/30/2016 17:18,6/30/2016 17:30,B5038,699,264,192,Male,1975
Tr10419449,6/30/2016 17:16,6/30/2016 17:24,B4151,513,60,58,Male,1971
Tr10419340,6/30/2016 17:13,6/30/2016 17:19,B5228,405,74,91,Male,1976
Tr10419230,6/30/2016 17:10,6/30/2016 17:35,B804,1494,364,160,Male,1990
Tr10419114,6/30/2016 17:08,6/30/2016 17:17,B691,536,133,186,Female,1994
Tr10419006,6/30/2016 17:05,6/30/2016 17:12,B2137,389,33,174,Male,1987
Tr10418903,6/30/2016 17:03,6/30/2016 17:08,B5247,297,100,91,Male,1972
Tr10418797,6/30/2016 17:01,6/30/2016 17:17,B2694,1003,196,174,Male,1987
Tr10418690,6/30/2016 16:58,6/30/2016 17:10,B68,738,211,192,Male,1979
Tr10418579,6/30/2016 16:55,6/30/2016 17:04,B3920,545,129,205,Male,1988
Tr10418471,6/30/2016 16:52,6/30/2016 16:56,B2893,254,344,311,Female,1982
Tr10418352,6/30/2016 16:50,6/30/2016 17:09,B3775,1155,498,213,Female,1986
Tr10418242,6/30/2016 16:46,6/30/2016 17:23,B1083,2211,107,268,,
Tr10418123,6/30/2016 16:42,6/30/2016 17:02,B1244,1208,40,181,,
Tr10417996,6/30/2016 16:38,6/30/2016 16:50,B2963,715,43,31,Male,1988
Tr10417890,6/30/2016 16:34,6/30/2016 16:39,B3918,270,66,192,Male,1990
Tr10417776,6/30/2016 16:30,6/30/2016 16:45,B5719,849,327,182,Male,1992
Tr10417649,6/30/2016 16:25,6/30/2016 16:44,B412,1140,69,93,Male,1965
Tr10417526,6/30/2016 16:21,6/30/2016 16:37,B3349,999,97,76,,
Tr10417418,6/30/2016 16:17,6/30/2016 16:58,B4566,2432,341,284,,
Tr10417310,6/30/2016 16:13,6/30/2016 16:38,B2409,1525,508,532,Male,1984
Tr10417196,6/30/2016 16:07,6/30/2016 16:15,B5635,467,85,99,Male,1996
Tr10417089,6/30/2016 16:02,6/30/2016 16:22,B3108,1174,35,76,,
Tr10416970,6/30/2016 15:57,6/30/2016 16:17,B4260,1150,459,354,Male,1959
Tr10416853,6/30/2016 15:53,6/30/2016 16:05,B5383,690,596,597,Female,1975
Tr10416743,6/30/2016 15:48,6/30/2016 15:54,B4091,349,283,174,Male,1956
Tr10416636,6/30/2016 15:43,6/30/2016 15:54,B4245,695,13,329,Male,1987
Tr10416509,6/30/2016 15:37,6/30/2016 15:45,B2110,468,100,174,Male,1971
Tr10416379,6/30/2016 15:31,6/30/2016 15:48,B3407,1020,220,268,Female,1989
Tr10416266,6/30/2016 15:25,6/30/2016 15:38,B2498,828,211,91,Male,1982
Tr10416118,6/30/2016 15:17,6/30/2016 15:40,B907,1385,141,142,,
Tr10415993,6/30/2016 15:11,6/30/2016 15:40,B765,1773,141,142,,
Tr10415853,6/30/2016 15:03,6/30/2016 15:17,B4327,801,118,210,Male,1978
Tr10415741,6/30/2016 14:56,6/30/2016 15:29,B3197,1966,172,329,,
Tr10415595,6/30/2016 14:49,6/30/2016 14:59,B4523,621,85,35,,
Tr10415462,6/30/2016 14:41,6/30/2016 14:57,B4881,955,283,301,Male,1970
Tr10415342,6/30/2016 14:33,6/30/2016 14:53,B4890,1198,317,46,Male,1970
Tr10415227,6/30/2016 14:26,6/30/2016 14:42,B5696,1000,196,106,,
Tr10415111,6/30/2016 14:18,6/30/2016 14:26,B2908,504,394,68,Male,1985
Tr10414994,6/30/2016 14:09,6/30/2016 14:18,B4146,506,322,336,Male,1987
Tr10414880,6/30/2016 14:01,6/30/2016 14:10,B4712,536,141,180,Male,1985
Tr10414771,6/30/2016 13:55,6/30/2016 14:23,B2420,1718,341,90,,
Tr10414655,6/30/2016 13:49,6/30/2016 14:10,B4523,1288,332,177,,
Tr10414541,6/30/2016 13:42,6/30/2016 14:09,B4264,1633,268,173,,
Tr10414400,6/30/2016 13:35,6/30/2016 14:05,B4263,1810,285,90,Male,1959
Tr10414268,6/30/2016 13:27,6/30/2016 13:30,B646,198,100,51,Male,1961
Tr10414127,6/30/2016 13:18,6/30/2016 13:33,B5738,891,20,240,Male,1981
Tr10413999,6/30/2016 13:11,6/30/2016 13:49,B5204,2246,609,609,,
Tr10413887,6/30/2016 13:03,6/30/2016 13:09,B4149,384,114,226,,
Tr10413771,6/30/2016 12:55,6/30/2016 13:11,B295,956,36,24,Female,1976
Tr10413654,6/30/2016 12:47,6/30/2016 13:08,B389,1259,145,145,,
Tr10413529,6/30/2016 12:40,6/30/2016 13:47,B3711,4032,85,85,,
Tr10413418,6/30/2016 12:32,6/30/2016 12:46,B5334,838,72,39,Male,1981
Tr10413309,6/30/2016 12:25,6/30/2016 12:52,B4452,1642,180,76,,
Tr10413188,6/30/2016 12:19,6/30/2016 12:33,B4841,830,195,255,Male,1962
Tr10413046,6/30/2016 12:11,6/30/2016 12:36,B4934,1500,177,35,Female,1980
Tr10412909,6/30/2016 12:04,6/30/2016 12:24,B995,1173,156,249,Female,1988
Tr10412782,6/30/2016 11:57,6/30/2016 12:15,B517,1108,249,318,,
Tr10412647,6/30/2016 11:48,6/30/2016 11:53,B5597,297,22,32,Female,1994
Tr10412529,6/30/2016 11:41,6/30/2016 11:51,B5477,635,482,470,Male,1986
Tr10412409,6/30/2016 11:32,6/30/2016 11:51,B5862,1122,97,35,,
Tr10412275,6/30/2016 11:22,6/30/2016 16:01,B5106,16764,62,62,,
Tr10412142,6/30/2016 11:13,6/30/2016 11:20,B4862,408,225,60,Female,1993
